,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,cat
0,-1.8416948489940534,0.2637380704887174,-2.1819220571836686,-0.8087126511098333,0.23909579334059958,-0.29172937748301686,-0.4500619193944217,-0.8009823701225797,0.12268523643528241,-0.22641169656932103,1
1,-1.7457925495355773,0.7012330569648652,-1.640669476105707,-0.7817622931350285,-1.5587797638970458,2.1236875617111317,0.08233694463204798,-0.7266053812513675,-0.7391347207602286,-0.5619078863154424,1
2,-1.7646591214745342,0.5565507872311437,-1.3967091936757323,-0.8142744640288117,-0.8981661605121279,1.088548754339014,0.23179509544536783,-0.5943738163002892,-0.4668273202603427,-0.1819568602550837,1
3,-0.9026166058155828,1.3376403929407403,2.0782700713541518,-0.2971701984217861,0.7126537584049484,-0.915246201072384,-1.1767661650179044,-1.312667736265942,0.9463076760626755,0.24446113605583228,1
4,-1.841694848994035,0.2637380704887008,-2.18192205718368,-0.8087126511098387,0.23909579334062372,-0.2917293774830248,-0.45006191939444506,-0.8009823701225945,0.12268523643530953,-0.22641169656931043,1
5,-1.7303482871287181,0.24656229105750924,-2.140193989806786,-0.6964329221785407,0.24491087155261737,-0.37578872169131927,-0.39088076022625895,-0.9179075469160461,0.3246955281608593,-0.11539256367458949,1
6,-1.2354789260437644,0.2049039602324592,-1.2492787688756768,-1.4467632984902972,-0.507997645877487,-0.23587217625514656,-0.37783580441811,-1.1419433720190346,0.2311405933840772,0.018061413594913138,1
7,-1.5574473143005378,-0.41373269431348086,-1.6208551303127552,-1.3241511863106192,-0.34025733339917485,-0.015423298325283536,-0.34037304338837404,-0.7349265342651333,0.48150234730182184,-0.8309596941564478,2
8,-1.6919164540124156,0.2099092908986217,-1.3862095064830338,-1.1065897641706617,0.011730174518470624,-0.34694406521464477,0.4601939122626126,-0.9696483755550569,0.6214326081266889,-0.47436141685476974,2
9,-0.9537891605918095,0.7375193136909042,-0.2909942436490884,1.0269275673730116,1.013861519166905,0.5194224305151255,0.3866134571298405,0.37532050942388334,-1.2660532440282537,0.33833764151320156,1
10,-1.2256606788165665,0.2541486739037348,-1.4378593752184032,-0.7239902490094491,-1.2805368759020093,-0.5829957374824183,0.41604452715585183,-0.2557717874721357,-0.27658241360854513,-0.23023631448983367,1
11,-0.9537891605918104,0.7375193136909042,-0.2909942436490879,1.0269275673730143,1.0138615191669058,0.5194224305151279,0.38661345712984313,0.37532050942388334,-1.2660532440282546,0.33833764151320184,1
12,-1.4238425907792418,-0.6029616249043311,-2.525113000898746,-0.02691371102075898,-0.500727361343047,-0.8301523899506726,-0.3053255683701903,0.28410599738552755,0.00011696086233647538,-0.024024905251078487,1
13,-2.757117520167597,1.7077885748740746,-0.07067906369008413,3.711505790840226,0.13688689337040422,1.539933616726622,4.473162223191703,-1.2691546342644076,-2.973427726612281,-1.6397844980209735,1
14,-1.146846020571758,2.1087530229735596,-0.7390876100133414,1.7742934588374284,-2.8794396720998736,1.7922996412321948,0.14044171596868615,-0.5292472204476864,1.0012277741968774,0.8699944528122077,1
15,-1.1717774114146526,2.1219614565126843,-0.7093411574617519,1.9820692322997149,-2.6417966664443773,1.903947135734187,0.3425613457180244,-0.6684570303610416,0.6984916756274384,0.8878085072781532,1
16,-0.5667262338292011,0.8190174696049376,1.0957098522563147,1.9029859152951125,0.22883012172477699,-0.4751110746817399,-0.7000336218119154,-0.15985330872573475,0.14234991331420216,-0.2690539805125217,2
17,-3.271185195479378,2.9628760695110388,0.16692312068237294,4.178682871686649,-6.051890322816392,-0.04307972592029095,3.0342955518339725,3.6728906146298717,1.6645571750195645,1.907835801065404,1
