,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,cat
0,-1.841694848994054,0.2637380704887092,-2.1819220571836695,-0.8087126511098329,0.239095793340604,-0.2917293774830182,-0.4500619193944203,-0.8009823701225819,0.12268523643528116,-0.22641169656932267,0.14247326517042827,2.188832919994,-2.1928325189113975,-0.7447781044754056,0.5699578170318237,-1.1001398607084654,-1.4463585242101074,1.034992819633769,1.8130895095901995,0.1930967712748237,-0.9154641642010458,5.0,1.0,1.0
0,-1.841694848994054,0.2637380704887092,-2.1819220571836695,-0.8087126511098329,0.239095793340604,-0.2917293774830182,-0.4500619193944203,-0.8009823701225819,0.12268523643528116,-0.22641169656932267,-0.16608919286941484,-0.4231830285241849,0.2846860473502662,3.2069290284068273,-0.3149750696080817,0.8155653085446922,0.9599756048834102,2.1022136509718856,-1.3590488617562135,-0.5461782569941989,-1.418558211070969,6.0,0.0,1.0
1,-1.7457925495355784,0.701233056964858,-1.6406694761057075,-0.7817622931350335,-1.5587797638970353,2.1236875617111397,0.08233694463204053,-0.726605381251368,-0.7391347207602277,-0.5619078863154439,0.4510357232102707,3.2822349449551016,-2.1928325189113975,-0.5976400729319182,1.1979747043246598,-0.31132008513363574,-0.8624686252388861,0.7014863098405938,-0.11507302985565777,0.9995786202955752,-0.5800681329544298,5.0,1.0,1.0
1,-1.7457925495355784,0.701233056964858,-1.6406694761057075,-0.7817622931350335,-1.5587797638970353,2.1236875617111397,0.08233694463204053,-0.726605381251368,-0.7391347207602277,-0.5619078863154439,-0.7060734944391399,-0.24094935769733491,0.14704612700239625,-0.8078372608511859,-0.20079018100938412,-0.9311070516567161,0.2876175394013979,-0.23233191758030444,0.5069148860946173,-0.27735097398728176,-0.8316151563893921,6.0,0.0,1.0
2,-1.7646591214745357,0.556550787231138,-1.3967091936757323,-0.8142744640288141,-0.8981661605121194,1.0885487543390209,0.23179509544536353,-0.5943738163002884,-0.4668273202603394,-0.18195686025508348,0.4510357232102707,2.553300261647701,-1.9175526782156573,-0.6606992293076985,1.0266973714266134,-0.8747627819727997,-1.092485858166943,0.7681876117992213,0.2581197197145062,0.7979581580403872,-0.5800681329544298,5.0,1.0,1.0
2,-1.7646591214745357,0.556550787231138,-1.3967091936757323,-0.8142744640288141,-0.8981661605121194,1.0885487543390209,0.23179509544536353,-0.5943738163002884,-0.4668273202603394,-0.18195686025508348,0.6824575667401527,-0.36243847158190146,0.5599658880460069,0.3062078351209331,-0.17224395885970972,-0.02959873671405376,-0.33165962617413963,0.13452524319218465,0.2581197197145062,-0.6133850777459282,-0.3285211095194689,6.0,0.0,1.0
3,-0.9026166058155869,1.3376403929407377,2.078270071354152,-0.2971701984217843,0.7126537584049415,-0.9152462010723893,-1.1767661650179013,-1.312667736265941,0.946307676062672,0.2444611360558296,3.0738166165489345,-0.36243847158190146,1.6610852508289689,-0.7447781044754056,0.5414115948821493,-0.7620742426049669,-0.9863240583539936,1.1016941215923968,-0.36386819623576894,0.32751041277828163,-0.5800681329544298,6.0,1.0,1.0
3,-0.9026166058155869,1.3376403929407377,2.078270071354152,-0.2971701984217843,0.7126537584049415,-0.9152462010723893,-1.1767661650179013,-1.312667736265941,0.946307676062672,0.2444611360558296,-0.011807963849493291,-0.6661612562933185,0.009406206654525906,0.6425233357917614,0.05612581833768522,0.928253847912525,1.2430737377179415,0.3012784980887908,-0.17727182145068696,-0.8822123607528451,-0.49621912514277616,6.0,0.0,1.0
4,-1.8416948489940352,0.26373807048869097,-2.1819220571836793,-0.8087126511098415,0.2390957933406191,-0.2917293774830285,-0.45006191939444407,-0.8009823701225935,0.12268523643530985,-0.22641169656931368,0.14247326517042827,2.188832919994,-2.1928325189113975,-0.7447781044754056,0.5699578170318237,-1.1001398607084654,-1.4463585242101074,1.034992819633769,1.8130895095901995,0.1930967712748237,-0.9154641642010458,5.0,1.0,1.0
4,-1.8416948489940352,0.26373807048869097,-2.1819220571836793,-0.8087126511098415,0.2390957933406191,-0.2917293774830285,-0.45006191939444407,-0.8009823701225935,0.12268523643530985,-0.22641169656931368,-0.011807963849493291,-0.6661612562933185,0.009406206654525906,0.6425233357917614,0.05612581833768522,0.928253847912525,1.2430737377179415,0.3012784980887908,-0.17727182145068696,-0.8822123607528451,-0.49621912514277616,6.0,0.0,1.0
